Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
Narasin,Narasin,55134-13-9,NS00000173,Name,NA,CAS_RN: 55134-13-9,DTXSID2046707,C43H72O11
naratriptan,Naratriptan,121679-13-8,NS00006374,Name,NA,CAS_RN: 121679-13-8,DTXSID7023354,C17H25N3O2S1
Naratriptan,Naratriptan,121679-13-8,NS00006374,Name,NA,CAS_RN: 121679-13-8,DTXSID7023354,C17H25N3O2S1
Narcotoline,Narcotoline,521-40-4,NS00032434,Name,NA,CAS_RN: 521-40-4,DTXSID50200098,C21H21N1O7
nateglinide,nateglinide,105816-04-4,NS00099857,Name,NA,105816-04-4,NA,NA
Nateglinide,Nateglinide,105816-04-4,NS00000602,Name,NA,CAS_RN: 105816-04-4,DTXSID9040687,C19H27N1O3
Neamine,Neamine,1404-04-2,NS00011537,Name,NA,CAS_RN: 1404-04-2,NA,C12H26N4O6
neburon,Neburon,555-37-3,NS00005770,Name,NA,CAS_RN: 555-37-3,DTXSID4042200,C12H16Cl2N2O1
Neflumozide,Neflumozide,86636-93-3,NS00010488,Name,NA,CAS_RN: 86636-93-3,NA,C22H23F1N4O2
nefopam,Nefopam,13669-70-0,NS00004218,Name,NA,CAS_RN: 13669-70-0,DTXSID2048535,C17H19N1O1
Nelarabine,Nelarabine,121032-29-9,NS00002328,Name,NA,CAS_RN: 121032-29-9,DTXSID6046842,C11H15N5O5
nelfinavir,Nelfinavir,159989-64-7,NS00003195,Name,NA,CAS_RN: 159989-64-7,DTXSID5035080,C32H45N3O4S1
Nemadectin (F-Alpha),Nemadectin (F-Alpha),NA,NA,NA,NA,NA,NA,NA
Neoandrographolide,Neoandrographolide,27215-14-1,NS00018053,Name,NA,CAS_RN: 27215-14-1,NA,C26H40O8
Neocinchophen,Neocinchophen,485-34-7,NS00031806,Name,NA,CAS_RN: 485-34-7,DTXSID2046250,C19H17N1O2
"Neodecaneperoxoic acid, 1,1-dimethylpropyl ester","Neodecaneperoxoic acid, 1,1-dimethylpropyl ester",68299-16-1,NS00036526,Name,NA,CAS_RN: 68299-16-1,DTXSID6071401,C15H30O3
neodecanoyl chloride,neodecanoyl chloride,40292-82-8,NS00105281,Name,NA,CAS_RN: 40292-82-8,NA,C10H19ClO
"Neoheptaneperoxoic acid, 1,1-dimethylethyl ester","Neoheptaneperoxoic acid, 1,1-dimethylethyl ester",26748-38-9,NS00028183,Name,NA,CAS_RN: 26748-38-9,DTXSID2067248,C11H22O3
"neomigran, dehydroergotamine, dhe ratiopharm, d-tamin retard l.u.t., dehydroergotamine, orstanorm, Agit, dihydroergotamine (substance), dihydroergotaminum, orstanorm","neomigran, dehydroergotamine, dhe ratiopharm, d-tamin retard l.u.t., dehydroergotamine, orstanorm, Agit, dihydroergotamine (substance), dihydroergotaminum, orstanorm",NA,NA,NA,NA,NA,NA,NA
neomycin,Neomycin,1404-04-2,NS00010003,Name,NA,CAS_RN: 1404-04-2,DTXSID9041073,C23H46N6O13
NEOPENTYL GLYCOL DICAPRATE,NEOPENTYL GLYCOL DICAPRATE,27841-06-1,NS00013883,Name,NA,CAS_RN: 27841-06-1,NA,C25H48O4
Neopentyl glycol diglycidyl ether,Neopentyl glycol diglycidyl ether,17557-23-2,NS00019511,Name,NA,CAS_RN: 17557-23-2,DTXSID8025707,C11H20O4
NEOPENTYL GLYCOL DILAURATE,Neopentyl glycol dilaurate,10525-39-0,NS00013884,Synonyms_ChemSpider,0,CAS_RN: 10525-39-0,DTXSID30147033,C29H56O4
(1-Chloro-2-methylpropan-2-yl)benzene,Neophyl chloride,515-40-2,NS00032299,Synonyms_ChemSpider,4,CAS_RN: 515-40-2,DTXSID8027167,C10H13Cl1
Neopine,Neopine,467-14-1,NS00031628,Name,NA,CAS_RN: 467-14-1,DTXSID80196910,C18H21N1O3
neopsicaine,neopsicaine,NA,NA,NA,NA,NA,NA,NA
Neopterin,Neopterin,2009-64-5,NS00014808,Name,NA,CAS_RN: 2009-64-5,NA,C9H11N5O4
Neoquassin,Neoquassin,76-77-7,NS00006450,Name,NA,CAS_RN: 76-77-7,DTXSID30878618,C22H30O6
NEORUSCOGENIN,NEORUSCOGENIN,17676-33-4,NS00013885,Name,NA,CAS_RN: 17676-33-4,NA,C27H40O4
neosaxitoxin,Neosaxitoxin,64296-20-4,NS00009030,Name_ChemSpider,NA,CAS_RN: 64296-20-4,DTXSID70880098,C10H17N7O5
Neosolaniol,Neosolaniol,77620-53-2,NS00018322,Name,NA,CAS_RN: 77620-53-2,NA,C19H26O8
Neospiramycin,Neospiramycin,70253-62-2,NS00040631,Name,NA,CAS_RN: 70253-62-2,NA,C36H62N2O11
neostigmine,Neostigmine,59-99-4,NS00001580,Name,NA,CAS_RN: 59-99-4,DTXSID1023360,C12H19N2O2
Neotam,Neotame,165450-17-9,NS00007809,Synonyms_ChemSpider,0,CAS_RN: 165450-17-9,DTXSID50167950,C20H30N2O5
Neotame,Neotame,165450-17-9,NS00007809,Name,NA,CAS_RN: 165450-17-9,DTXSID50167950,C20H30N2O5
Nepafenac,Nepafenac,78281-72-8,NS00006647,Name,NA,CAS_RN: 78281-72-8,DTXSID0048638,C15H14N2O2
Nequinate,Nequinate,13997-19-8,NS00024531,Name,NA,CAS_RN: 13997-19-8,DTXSID2048610,C22H23N1O4
Neramexane,Neramexane,219810-59-0,NS00027008,Name,NA,CAS_RN: 219810-59-0,DTXSID40176399,C11H23N1
Neriifolin,Neriifolin,466-07-9,NS00015484,Name,NA,CAS_RN: 466-07-9,DTXSID40881390,C30H46O8
Nervonic acid,Nervonic acid,506-37-6,NS00015174,Name,NA,CAS_RN: 506-37-6,NA,C24H46O2
"(2R,3R,4R,5R)-2-{[(1S,2S,3R,4S,6R)-4-amino-3-{[(2S,3R)-3-amino-6-(aminomethyl)-3,4-dihydro-2H-pyran-2-yl]oxy}-6-(ethylamino)-2-hydroxycyclohexyl]oxy}-5-methyl-4-(methylamino)oxane-3,5-diol",Netilmicin,56391-56-1,NS00004708,Synonyms_ChemSpider,0,CAS_RN: 56391-56-1,DTXSID1048542,C21H41N5O7
Netropsin,Netropsin,1438-30-8,NS00011813,Name,NA,CAS_RN: 1438-30-8,DTXSID00879834,C18H26N10O3
Netupitant,Netupitant,290297-26-6,NS00040679,Name,NA,CAS_RN: 290297-26-6,DTXSID50183271,C30H32F6N4O1
NEVIRAPINE,Nevirapine,129618-40-2,NS00004959,Name,NA,CAS_RN: 129618-40-2,DTXSID7031797,C15H14N4O1
Nialamide,Nialamide,51-12-7,NS00003489,Name,NA,CAS_RN: 51-12-7,DTXSID1023362,C16H18N4O2
Niaprazine,Niaprazine,27367-90-4,NS00006939,Name,NA,CAS_RN: 27367-90-4,NA,C20H25F1N4O1
Nicametate,Nicametate,3099-52-3,NS00010647,Name,NA,CAS_RN: 3099-52-3,DTXSID9048300,C12H18N2O2
Niclosamide,Niclosamide,50-65-7,NS00000613,Name,NA,CAS_RN: 50-65-7,DTXSID7040362,C13H8Cl2N2O4
Nicoboxil,Nicoboxil,13912-80-6,NS00008756,Name,NA,CAS_RN: 13912-80-6,DTXSID4057635,C12H17N1O3
nicocodeine,Nicocodine [INN:BAN:DCF],3688-66-2,NS00003908,Name_ChemSpider,NA,CAS_RN: 3688-66-2,DTXSID10190360,C24H24N2O4
Nicodan,Nicodan,7681-15-4,NS00037844,Name,NA,CAS_RN: 7681-15-4,DTXSID50227629,C9H11N1O2
"Nicodicodine [INN,BAN,DCF]","Nicodicodine [INN,BAN,DCF]",NA,NA,NA,NA,NA,NA,NA
Nicofibrate,Nicofibrate,31980-29-7,NS00029201,Name,NA,CAS_RN: 31980-29-7,DTXSID90185815,C16H16Cl1N1O3
nicofuranose,Nicofuranose,15351-13-0,NS00004059,Name,NA,CAS_RN: 15351-13-0,DTXSID6023365,C30H24N4O10
nicomorphine,Nicomorphine [INN:BAN:DCF],639-48-5,NS00007674,Name_ChemSpider,NA,CAS_RN: 639-48-5,DTXSID00213517,C29H25N3O5
Nicopholine,Nicopholine [INN:DCF],492-85-3,NS00010510,Name,NA,CAS_RN: 492-85-3,DTXSID10197713,C10H12N2O2
Nicothiazone,Nicothiazone,555-90-8,NS00022369,Name,NA,CAS_RN: 555-90-8,DTXSID1046392,C7H8N4S1
Nicotinanilide,Nicotinanilide,1752-96-1,NS00025755,Name,NA,CAS_RN: 1752-96-1,DTXSID10169950,C12H10N2O1
(-)-Nicotine,Nicotine,54-11-5,NS00010445,Name,NA,CAS_RN: 54-11-5,DTXSID1020930,C10H14N2
Nicotine,Nicotine,54-11-5,NS00010445,Name,NA,CAS_RN: 54-11-5,DTXSID1020930,C10H14N2
Nicotine met 10-258,Nicotine met 10-258,,NS00000810,Name,NA,CAS_RN: NA,NA,C10H14N2O4S1
Nicotine met 12-326,Nicotine met 12-326,,NS00000812,Name,NA,CAS_RN: NA,NA,C15H22N2O6
Nicotine met 15-354,Nicotine met 15-354,,NS00000815,Name,NA,CAS_RN: NA,NA,C16H22N2O7
Nicotine met 2-164,Nicotine met 2-164,,NS00000802,Name,NA,CAS_RN: NA,NA,C9H12N2O1
Nicotine met 21-485,Nicotine met 21-485,,NS00000821,Name,NA,CAS_RN: NA,NA,C20H31N5O7S1
Nicotine met 3-166,Nicotine met 3-166,,NS00000803,Name,NA,CAS_RN: NA,NA,C9H14N2O1
Nicotine met 4-176,Nicotine met 4-176,,NS00000804,Name,NA,CAS_RN: NA,NA,C10H12N2O1
Nicotine met 5 178,Nicotine met 5 178,NA,NA,NA,NA,NA,NA,NA
Nicotine met 6-180,Nicotine met 6-180,,NS00000806,Name,NA,CAS_RN: NA,NA,C10H16N2O1
Nicotine met 7-192,Nicotine met 7-192,NA,NA,NA,NA,NA,NA,NA
Nicotine met 8-194,Nicotine met 8-194,,NS00000808,Name,NA,CAS_RN: NA,NA,C10H14N2O2
Nicotine met 9-196,Nicotine met 9-196,,NS00000809,Name,NA,CAS_RN: NA,NA,C10H16N2O2
Nicotinic acid hydrazide,Nicotinic acid hydrazide,553-53-7,NS00033298,Name,NA,CAS_RN: 553-53-7,DTXSID6020933,C6H7N3O1
Nicotinic acid mononucleotide,Nicotinic acid mononucleotide,321-02-8,NS00015047,Name,NA,CAS_RN: 321-02-8,NA,C11H15N1O9P1
Nicotinoyl-GABA,Nicotinoyl-GABA,34562-97-5,NS00029684,Name,NA,CAS_RN: 34562-97-5,DTXSID40188098,C10H12N2O3
nicotinoylprocaine,Nicotinoylprocaine,13424-56-1,NS00005638,Name,NA,CAS_RN: 13424-56-1,DTXSID50158606,C19H23N3O3
Nicotinuric acid,Nicotinuric acid,583-08-4,NS00014892,Name,NA,CAS_RN: 583-08-4,DTXSID50207022,C8H8N2O3
Nictindole,Nictindole,36504-64-0,NS00030052,Name,NA,CAS_RN: 36504-64-0,DTXSID30190004,C17H16N2O1
nifedipine,Nifedipine,21829-25-4,NS00002967,Name,NA,CAS_RN: 21829-25-4,DTXSID2025715,C17H18N2O6
"Nifedipine, Dehydro","Nifedipine, Dehydro",NA,NA,NA,NA,NA,NA,NA
nifenalol,Nifenalol,7413-36-7,NS00009260,Name,NA,CAS_RN: 7413-36-7,DTXSID9048693,C11H16N2O3
Nifenazone,Nifenazone,2139-47-1,NS00010564,Name,NA,CAS_RN: 2139-47-1,DTXSID7045366,C17H16N4O2
Niflumic acid met 10 -256,Niflumic acid met 10 -256,115891-11-7,NS00000829,Name,NA,CAS_RN: 115891-11-7,NA,C12H11F3N2O1
Niflumic acid met 11 -280,Niflumic acid met 11 -280,436159-86-3,NS00000830,Name,NA,CAS_RN: 436159-86-3,NA,C14H11F3N2O1
Niflumic acid met 13 -300,Niflumic acid met 13 -300,,NS00000832,Name,NA,CAS_RN: NA,NA,C13H11F3N2O3
Niflumic acid met 14 -314,Niflumic acid met 14 -314,,NS00000833,Name,NA,CAS_RN: NA,NA,C13H9F3N2O4
Niflumic acid met 15 -316,Niflumic acid met 15 -316,,NS00000834,Name,NA,CAS_RN: NA,NA,C13H11F3N2O4
Niflumic acid met 18 -339,Niflumic acid met 18 -339,15149-72-1,NS00000837,Name,NA,CAS_RN: 15149-72-1,NA,C15H12F3N3O3
Niflumic acid met 19 -340,Niflumic acid met 19 -340,NA,NA,NA,NA,NA,NA,NA
Niflumic acid met 20 -342,Niflumic acid met 20 -342,1253789-98-8,NS00000839,Name,NA,CAS_RN: 1253789-98-8,NA,C15H13F3N2O4
Niflumic acid met 21 -355,Niflumic acid met 21 -355,253594-54-6,NS00000840,Name,NA,CAS_RN: 253594-54-6,NA,C15H12F3N3O4
Niflumic acid met 23 -362,Niflumic acid met 23 -362,,NS00000842,Name,NA,CAS_RN: NA,NA,C13H9F3N2O5S1
Niflumic acid met 33 -429,Niflumic acid met 33 -429,,NS00000852,Name,NA,CAS_RN: NA,NA,C18H18F3N3O6
Niflumic acid met 45 -587,Niflumic acid met 45 -587,,NS00000864,Name,NA,CAS_RN: NA,NA,C24H24F3N3O11
Niflumic acid met 47 -634,Niflumic acid met 47 -634,,NS00000866,Name,NA,CAS_RN: NA,NA,C25H25F3N2O14
Niflumic acid met 6 -178,Niflumic acid met 6 -178,1206969-17-6,NS00000825,Name,NA,CAS_RN: 1206969-17-6,NA,C6H10O6
Niflumic acid met 7 -194,Niflumic acid met 7 -194,528-16-5,NS00000826,Name,NA,CAS_RN: 528-16-5,NA,C6H10O7
Niflumic acid met 8 -238,Niflumic acid met 8 -238,NA,NA,NA,NA,NA,NA,NA
Niflumic acid met 9 -254,Niflumic acid met 9 -254,173094-98-9,NS00000828,Name,NA,CAS_RN: 173094-98-9,NA,C12H9F3N2O1
Niflumic acid TP 49 (neg),Niflumic acid TP 49 (neg),,NS00000868,Name,NA,CAS_RN: NA,NA,C13H9F3N2O4
Nifurfoline,Nifurfoline,3363-58-4,NS00029519,Name,NA,CAS_RN: 3363-58-4,DTXSID90187314,C13H15N5O6
NIFUROXAZIDE,Nifuroxazide,965-52-6,NS00007819,Name,NA,CAS_RN: 965-52-6,DTXSID4045343,C12H9N3O5
Nifurpirinol,Nifurpirinol,13411-16-0,NS00087189,Name,NA,CAS_RN: 13411-16-0,NA,C12H10N2O4
Nigericin,Nigericin,28643-80-3,NS00010273,Name,NA,CAS_RN: 28643-80-3,DTXSID9041079,C40H68O11
Nihydrazone,Nihydrazone,67-28-7,NS00036105,Name,NA,CAS_RN: 67-28-7,DTXSID1046398,C7H7N3O4
Nikkomycin Z,Nikkomycins,59456-70-1,NS00011701,Synonyms_ChemSpider,0,CAS_RN: 59456-70-1,DTXSID5058436,C20H25N5O10
Nile blue,Nile blue,NA,NS00017430,Name,NA,NA,NA,C20H19N3O1
Nilprazole,Nilprazole,60662-19-3,NS00034425,Name,NA,CAS_RN: 60662-19-3,DTXSID80209473,C26H33N5O2
nilvadipine,Nilvadipine,75530-68-6,NS00003603,Name,NA,CAS_RN: 75530-68-6,DTXSID2046624,C19H19N3O6
Nimbin,Nimbin,5945-86-8,NS00034172,Name,NA,CAS_RN: 5945-86-8,DTXSID80208168,C30H36O9
nimesulide,Nimesulide,51803-78-2,NS00006725,Name,NA,CAS_RN: 51803-78-2,DTXSID3037250,C13H12N2O5S1
Nimesulide,Nimesulide,51803-78-2,NS00006725,Name,NA,CAS_RN: 51803-78-2,DTXSID3037250,C13H12N2O5S1
Nimesulide reduced,Nimesulide reduced,NA,NA,NA,NA,NA,NA,NA
Nimetazepam,Nimetazepam,2011-67-8,NS00009644,Name,NA,CAS_RN: 2011-67-8,DTXSID6023369,C16H13N3O3
nimodipine,Nimodipine,66085-59-4,NS00006836,Name,NA,CAS_RN: 66085-59-4,DTXSID5023370,C21H26N2O7
nimorazole,Nimorazole,6506-37-2,NS00006047,Name,NA,CAS_RN: 6506-37-2,DTXSID1057795,C9H14N4O3
nimustine,Nimustine,42471-28-3,NS00006573,Name,NA,CAS_RN: 42471-28-3,DTXSID0045179,C9H13Cl1N6O2
Ninhydrin,Ninhydrin,485-47-2,NS00022220,Name,NA,CAS_RN: 485-47-2,DTXSID7025716,C9H6O4
Nintedanib,Nintedanib,656247-17-5,NS00040680,Name,NA,CAS_RN: 656247-17-5,NA,C31H33N5O4
Niometacin,Niometacin,16426-83-8,NS00025369,Name,NA,CAS_RN: 16426-83-8,DTXSID70167735,C18H16N2O4
nisoldipine,Nisoldipine,63675-72-9,NS00002600,Name,NA,CAS_RN: 63675-72-9,DTXSID0023371,C20H24N2O6
nisoxetine,Nisoxetine,53179-07-0,NS00002148,Name,NA,CAS_RN: 53179-07-0,DTXSID0045175,C17H21N1O2
Nitenpyram,Nitenpyram,150824-47-8,NS00000174,Name,NA,CAS_RN: 150824-47-8,DTXSID8041080,C11H15Cl1N4O2
Nithiazine,Nithiazine,58842-20-9,NS00022435,Name,NA,CAS_RN: 58842-20-9,DTXSID7034256,C5H8N2O2S1
Nitracaine,Nitracaine,1648893-21-3,NS00017660,Name,NA,CAS_RN: 1648893-21-3,NA,C16H24N2O4
Nitracridine,Nitracridine,6035-39-8,NS00010493,Name,NA,CAS_RN: 6035-39-8,NA,C22H28N4O5
Nitralin,Nitralin,4726-14-1,NS00004930,Name,NA,CAS_RN: 4726-14-1,DTXSID9042203,C13H19N3O6S1
nitrefazole,Nitrefazole,21721-92-6,NS00004018,Name_ChemSpider,NA,CAS_RN: 21721-92-6,DTXSID2048826,C10H8N4O4
nitrendipine,Nitrendipine,39562-70-4,NS00007571,Name,NA,CAS_RN: 39562-70-4,DTXSID0023373,C18H20N2O6
"Nitric acid, 1-methylethyl ester","Nitric acid, 1-methylethyl ester",1712-64-7,NS00021743,Name,NA,CAS_RN: 1712-64-7,DTXSID5061908,C3H7N1O3
"Nitric acid, hexyl ester","Nitric acid, hexyl ester",20633-11-8,NS00026703,Name,NA,CAS_RN: 20633-11-8,DTXSID8066636,C6H13N1O3
Nitrilotriacetamide,Nitrilotriacetamide,4862-18-4,NS00022223,Name,NA,CAS_RN: 4862-18-4,DTXSID7049689,C6H12N4O3
nitrilotriacetic acid,nitrilotriacetic acid,139-13-9,NS00104717,Name,NA,CAS_RN: 139-13-9,NA,C6H9NO6
Nitrodenafil,Nitrodenafil,NA,NA,NA,NA,NA,NA,NA
Nitrofurazone,Nitrofurazone,59-87-0,NS00000175,Name,NA,CAS_RN: 59-87-0,DTXSID5020944,C6H6N4O4
nitroso-N-phenylaniline,nitroso-N-phenylaniline,NA,NA,NA,NA,NA,NA,NA
Nitrothal-isopropyl,Nitrothal-isopropyl,10552-74-6,NS00004811,Name,NA,CAS_RN: 10552-74-6,DTXSID5037579,C14H17N1O6
"Nitrotoluol, 2-","Nitrotoluol, 2-",NA,NA,NA,NA,NA,NA,NA
"Nitrous acid, octyl ester","Nitrous acid, octyl ester",629-46-9,NS00035229,Name,NA,CAS_RN: 629-46-9,DTXSID3060875,C8H17N1O2
Nitrovin,Nitrovin,804-36-4,NS00038074,Name,NA,CAS_RN: 804-36-4,DTXSID8046903,C14H12N6O6
nizatidine,Nizatidine,76963-41-2,NS00010189,Name,NA,CAS_RN: 76963-41-2,DTXSID5023376,C12H21N5O2S2
NN-Didesmethylvenlafaxine,NN-Didesmethylvenlafaxine,NA,NA,NA,NA,NA,NA,NA
NN-Didesvenlafaxine,NN-Didesvenlafaxine,NA,NA,NA,NA,NA,NA,NA
NN-Diethyl-m-toluamide,NN-Diethyl-m-toluamide,NA,NA,NA,NA,NA,NA,NA
NN-Dimethyl-N'-phenylsulfamide,NN-Dimethyl-N'-phenylsulfamide,NA,NA,NA,NA,NA,NA,NA
NN-Dimethyldipropylenetriamine,NN-Dimethyldipropylenetriamine,NA,NA,NA,NA,NA,NA,NA
NN-Dimethylglycine,NN-Dimethylglycine,NA,NA,NA,NA,NA,NA,NA
NNEI 2&#39;-indazole isomer,NNEI 2&#39;-indazole isomer,NA,NS00018124,Name,NA,NA,NA,C23H23N3O1
NO-Didesmethylvenlafaxine,NO-Didesmethylvenlafaxine,NA,NA,NA,NA,NA,NA,NA
NO-Didesvenlafaxine,NO-Didesvenlafaxine,NA,NA,NA,NA,NA,NA,NA
Nobiletin,Nobiletin,478-01-3,NS00018303,Name,NA,CAS_RN: 478-01-3,DTXSID30197275,C21H22O8
Nogalamycin,Nogalamycin,1404-15-5,NS00011895,Name,NA,CAS_RN: 1404-15-5,NA,C39H49N1O16
Nomegestrol,Nomegestrol,58691-88-6,NS00040681,Name,NA,CAS_RN: 58691-88-6,NA,C21H28O3
nomegestrol acetate,Nomegestrol acetate,58652-20-3,NS00005994,Name,NA,CAS_RN: 58652-20-3,DTXSID90207349,C23H30O4
Nonactin,Nonactin,6833-84-7,NS00011656,Name,NA,CAS_RN: 6833-84-7,DTXSID10218477,C40H64O12
Nonadecan-10-amine,Nonadecan-10-amine,3241-23-4,NS00029275,Name,NA,CAS_RN: 3241-23-4,DTXSID10186122,C19H41N1
Nonadecan-10-ol,Nonadecan-10-ol,16840-84-9,NS00025526,Name,NA,CAS_RN: 16840-84-9,DTXSID90168562,C19H40O1
Nonadecane.,Nonadecane,629-92-5,NS00013026,Name,NA,CAS_RN:  629-92-5,DTXSID9047170,C19H40
1-Bromononadecane,"Nonadecane, 1-bromo-",4434-66-6,NS00031417,Name_ChemSpider,NA,CAS_RN: 4434-66-6,DTXSID4063458,C19H39Br1
Nonadecyl 5-oxo-L-prolinate,Nonadecyl 5-oxo-L-prolinate,37673-35-1,NS00030250,Name,NA,CAS_RN: 37673-35-1,DTXSID10191099,C24H45N1O3
Nonan-1-oic anhydride,Nonan-1-oic anhydride,1680-36-0,NS00025516,Name,NA,CAS_RN: 1680-36-0,DTXSID60168458,C18H34O3
Nonanamide,Nonanamide,1120-07-6,NS00021525,Name,NA,CAS_RN: 1120-07-6,DTXSID60149803,C9H19N1O1
N-(2-{[2-({2-[(2-Aminoethyl)amino]ethyl}amino)ethyl]amino}ethyl)nonanamide,"Nonanamide, N-[2-[[2-[[2-[(2-aminoethyl)amino]ethyl]amino]ethyl]amino]ethyl]-",26392-63-2,NS00021959,Name_ChemSpider,NA,CAS_RN: 26392-63-2,DTXSID1067205,C17H39N5O1
"1,1-dimethoxynonane","Nonane, 1,1-dimethoxy-",18824-63-0,NS00021792,Name_ChemSpider,NA,CAS_RN: 18824-63-0,DTXSID8066424,C11H24O2
"2,2-Dimethoxynonane","Nonane, 2,2-dimethoxy-",52972-16-4,NS00032630,Name_ChemSpider,NA,CAS_RN: 52972-16-4,DTXSID5068819,C11H24O2
"N~1~,N~1~,N~9~,N~9~-Tetrakis(2-hydroxyethyl)nonanediamide","Nonanediamide, N,N,N',N'-tetrakis(2-hydroxyethyl)-",52914-63-3,NS00032612,Name,NA,CAS_RN: 52914-63-3,DTXSID5068817,C17H34N2O6
"Nonanedioic acid, 1,9-bis(2-octyldodecyl) ester","Nonanedioic acid, 1,9-bis(2-octyldodecyl) ester",897626-46-9,NS00009923,Name,NA,CAS_RN: 897626-46-9,DTXSID40889235,C49H96O4
"Nonanedioic acid, bis(2-butoxyethyl) ester","Nonanedioic acid, bis(2-butoxyethyl) ester",63021-23-8,NS00035257,Name,NA,CAS_RN: 63021-23-8,DTXSID7069651,C21H40O6
"Nonanedioic acid, bis(2-hydroxyethyl) ester","Nonanedioic acid, bis(2-hydroxyethyl) ester",29602-44-6,NS00028732,Name,NA,CAS_RN: 29602-44-6,DTXSID4067482,C13H24O6
"Nonanedioic acid, bis(2-methylpropyl) ester","Nonanedioic acid, bis(2-methylpropyl) ester",105-80-6,NS00023390,Name,NA,CAS_RN: 105-80-6,DTXSID5059323,C17H32O4
"Nonanedioic acid, bis(phenylmethyl) ester","Nonanedioic acid, bis(phenylmethyl) ester",1932-84-9,NS00026296,Name,NA,CAS_RN: 1932-84-9,DTXSID4062068,C23H28O4
"Nonanedioic acid, didecyl ester","Nonanedioic acid, didecyl ester",2131-27-3,NS00026836,Name,NA,CAS_RN: 2131-27-3,DTXSID9062196,C29H56O4
"Nonanedioic acid, diethyl ester","Nonanedioic acid, diethyl ester",624-17-9,NS00022539,Name,NA,CAS_RN: 624-17-9,DTXSID4060783,C13H24O4
"Nonanedioic acid, diisooctyl ester","Nonanedioic acid, diisooctyl ester",26544-17-2,NS00019796,Name,NA,CAS_RN: 26544-17-2,DTXSID9067221,C25H48O4
"Nonanedioic acid, dinonyl ester","Nonanedioic acid, dinonyl ester",18803-78-6,NS00026160,Name,NA,CAS_RN: 18803-78-6,DTXSID8066420,C27H52O4
"Nonanedioic acid, ditridecyl ester","Nonanedioic acid, ditridecyl ester",26719-40-4,NS00028168,Name,NA,CAS_RN: 26719-40-4,DTXSID7067241,C35H68O4
Nonanediperoxoic acid,Nonanediperoxoic acid,1941-79-3,NS00026326,Name,NA,CAS_RN: 1941-79-3,DTXSID3062077,C9H16O6
"Nonanediperoxoic acid, bis(1,1-dimethylethyl) ester","Nonanediperoxoic acid, bis(1,1-dimethylethyl) ester",16580-06-6,NS00025427,Name,NA,CAS_RN: 16580-06-6,DTXSID5066083,C17H32O6
Nonanediyl diacetate.,Nonanediyl diacetate,39864-15-8,NS00013035,Name,NA,CAS_RN:  39864-15-8,DTXSID7052074,C13H24O4
"Nonanoic acid, 1-methylethyl ester","Nonanoic acid, 1-methylethyl ester",28267-32-5,NS00028444,Name,NA,CAS_RN: 28267-32-5,DTXSID7067370,C12H24O2
"Nonanoic acid, 2-butoxyethyl ester","Nonanoic acid, 2-butoxyethyl ester",20442-11-9,NS00026630,Name,NA,CAS_RN: 20442-11-9,DTXSID0066614,C15H30O3
"2-ethyl-2-[[(1-oxononyl)oxy]methyl]propane-1,3-diyl dinonan-1-oate","Nonanoic acid, 2-ethyl-2-[[(1-oxononyl)oxy]methyl]-1,3-propanediyl ester",126-57-8,NS00007192,Synonyms_ChemSpider,0,CAS_RN: 126-57-8,DTXSID8027038,C33H62O6
2-ethylhexyl nonanoate,"Nonanoic acid, 2-ethylhexyl ester",59587-44-9,NS00002318,Name_IUPAC,NA,CAS_RN: 59587-44-9,DTXSID80866762,C17H34O2
"Nonanoic acid, 2,4,6,8,9-pentachloro-2,3,3,4,5,5,6,7,7,8,9,9-dodecafluoro-","Nonanoic acid, 2,4,6,8,9-pentachloro-2,3,3,4,5,5,6,7,7,8,9,9-dodecafluoro-",754-87-0,NS00019235,Name,NA,CAS_RN: 754-87-0,DTXSID20880164,C9H1Cl5F12O2
"None, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-9-iodo- (TSCA, NDSL)","None, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-9-iodo- (TSCA, NDSL)",NA,NA,NA,NA,NA,NA,NA
"2,2,8-Trimethylnonen-3-ol.","Nonen-3-ol, 2,2,8-trimethyl-",93882-22-5,NS00013295,Synonyms_ChemSpider,0,CAS_RN:  93882-22-5,DTXSID6074382,C12H24O1
nonoxinol 9,nonoxinol 9,NA,NA,NA,NA,NA,NA,NA
NONOXYNOL-10,NONOXYNOL-10,27177-08-8,NS00013905,Name,NA,CAS_RN: 27177-08-8,NA,C35H64O11
NONOXYNOL-6 PHOS- PHATE,NONOXYNOL-6 PHOS- PHATE,29994-44-3,NS00013902,Name,NA,CAS_RN: 29994-44-3,NA,C27H49O10P1
NONOXYNOL-8,NONOXYNOL-8,NA,NA,NA,NA,NA,NA,NA
Nonyl 3-mercaptopropionate,Nonyl 3-mercaptopropionate,67231-93-0,NS00036100,Name,NA,CAS_RN: 67231-93-0,DTXSID70217562,C12H24O2S1
"Nonyl 3,4,5-trihydroxybenzoate","Nonyl 3,4,5-trihydroxybenzoate",10361-11-2,NS00023249,Name,NA,CAS_RN: 10361-11-2,DTXSID20145942,C16H24O5
